bacnet_type_str,candidates
Analog Output,command setpoint
Analog Input,sensor meter
Analog Value
Binary Input,status alarm
Binary Output,command
Multi-State Input,sensor
Multi-State Output,command
Binary Value,
Multi-State Value,
