Bas1,Bas2,Bas3,TagSet,,Tags,Equipment
CMU/SCSC Gates/Third Floor/AHU-2 I/O/ra dewpoint,ra dewpoint,ahu return air humidity temp sensor,Return Air Dewpoint Sensor,,Return;Air;Humidity;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/ra enthalpy,ra enthalpy,ahu return air humidity temp energy sensor,Return Air Enthalpy Sensor,,Return;Air;Enthalpy;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/ra grains,ra grains,ahu return air humidity temp sensor,Return Air Grains Sensor,,Return;Air;grains;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/recirc damper,recirc damper,ahu recirculate air damper,Mixed Air Damper Position Sensor,,Mixed;Air;Damper;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/recirc dmpr fb,recirc dmpr fb,ahu recirculate air damper cmd,Mixed Air Damper Position Command,,Mixed;Air;Damper;Command,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/return CFM,return CFM,ahu return air flow sensor,Return Fan Air Flow Sensor,,Return;Fan;Airflow;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/return rh,return rh,ahu return air reheat valve cmd,Return Air Preheat Valve Command,,Return;Air;Heating;Valve;Command,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/return temp,return temp,ahu return air temp sensor,Return Air Temperature Sensor,,Return;Air;Temperature;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/Run,Run,cmd,Run Time Sensor,,Run;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/Run Request,Run Request,cmd,Run Request Command,,Run;Command,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/SA Duct Press,SA Duct Press,ahu discharge air pressure sensor,Discharge Air Static Pressure Sensor,,Discharge;Air;Pressure;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/SF piezo,SF piezo,ahu entering fan,Supply Fan Piezoelectric Sensor,,Supply;Fan;Piezoelectric;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/sup fan vfd,sup fan vfd,ahu discharge air fan vfd cmd,Discharge Air Static Pressure Setpoint,,Discharge;Air;Fan;VFD;Command,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/Supply Air Temp,Supply Air Temp,ahu discharge air temp sensor,Discharge Air Temperature Sensor,,Discharge;Air;Temperature;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/supply CFM,supply CFM,ahu discharge air flow sensor,Supply Fan Air Flow Sensor,,Discharge;Airflow;Air;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/supply demand,supply demand,ahu entering air cmd,Discharge Air Flow Command,,Discharge;Airflow;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/supply temp,supply temp,ahu discharge air temp sensor,Discharge Air Temperature Sensor,,Discharge;Air;Temperature;Sensor,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/supply vfd volts,supply vfd volts,ahu entering vfd volt,Supply Fan Piezoelectric Sensor,,Supply;Fan;VFD;Volt,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/ZTMP HI,ZTMP HI,zone air temp max,Zone Cooling Temperature Setpoint,,Temperature;Air;SetPoint;Alarm,
CMU/SCSC Gates/Third Floor/AHU-2 I/O/ZTMP LO,ZTMP LO,zone air temp min,Zone Heating Temperature Setpoint,,Temperature;Air;SetPoint;Alarm,
CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/% Capacity,% Capacity,equip chiller coolingCapacity,CRAC Capacity Setpoint,,Temperature;Cooling;Air;Capacity,
CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Fan Run Hours,Fan Run Hours,fan vfd equip run cmd,Discharge Air Flow Demand Sensor,,Discharge;Airflow;Air;Command,
CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Humidifier Run Hours,Humidifier Run Hours,humidifier run cmd,Humidification On Off Status,,Humidity;Air;Command,
CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Humidity,Humidity,humidity sensor,Humidity Sensor,,Humidity;Air;Sensor,
CMU/SCSC Gates/Eighth Floor/8126 Machine Room CRAC-9/Temperature,Temperature,temp sensor,Zone Temperature Sensor,,Temperature;Air;Sensor,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Airflow,Airflow,vav air flow sensor,Discharge Air Flow Sensor,,Discharge;Airflow;Air;Sensor,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Airflow Request,Airflow Request,air flow cmd,Discharge Air Flow Command,,Discharge;Airflow;Air;Command,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Airflow Setpoint,Airflow Setpoint,vav air flow sp,Cooling Max Discharge Air Flow Setpoint,,Discharge;Airflow;Air;Setpoint,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Cool Request,Cool Request,vav cool cmd,Cooling Command,,Temperature;Cooling;Air;Command,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Damper Position,Damper Position,vav damper sensor,Damper Position Sensor,,Damper;Air;Sensor,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Discharge Temp,Discharge Temp,vav discharge air temp sensor,Discharge Air Temperature Sensor,,Disrchage;Temperature;Air;Sensor,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Fan Start,Fan Start,fan cmd,Supply Fan Start Stop Command,,Air;Fan;Command,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Fan Status,Fan Status,fan curstatus,Supply Fan Start Stop Status,,Air;Fan;Sensor,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Flow Control _ Flow Input,Flow Control _ Flow Input,air flow sensor,Supply Fan Air Flow Sensor,,Airflow;Air;Fan;Command,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Heat Request,Heat Request,vav heat cmd,Heating Command,,Heating;Command;,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/HWV Command,HWV Command,vav hot water valve cmd,Domestic Hot Water Valve Command,,Water;Heating;Command,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Run,Run,cmd,Run Time Sensor,,Run;Sensor,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Run Request,Run Request,cmd,Run Request Command,,Run;Command,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Schedule,Schedule,cmd,Schedule Setpoint,,Command,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/Zone Temp _ Zone Temp,Zone Temp _ Zone Temp,zone air temp sensor,Zone Temperature Sensor,,Temperature;Air;Sensor,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/ZTMP HI,ZTMP HI,zone air temp max,Zone Cooling Temperature Setpoint,,Temperature;Air;Setpoint;Alarm,
CMU/SCSC Gates/Fourth Floor/FSB-1  Room 4307 Classroom/ZTMP LO,ZTMP LO,zone air temp min,Zone Heating Temperature Setpoint,,Temperature;Air;Setpoint;Alarm,
CMU/SCSC Gates/Third Floor/Steam Flow Meter Interface/Instant Demand,Instant Demand,hot water meter cmd,Current Usage Meter,,Steam;Demand;Equip,
CMU/SCSC Gates/Third Floor/Steam Flow Meter Interface/Peak Today,Peak Today,enegy max meter,Peak Energy Today Meter,,Energy;Sensor;Equip,
CMU/SCSC Gates/Third Floor/Steam Flow Meter Interface/Usage MTD,Usage MTD,steam flow meter,Monthly Usage Meter,,Steam;Sensor;Estimation;Equip,
CMU/SCSC Gates/Third Floor/Steam Flow Meter Interface/Usage Today,Usage Today,steam flow meter,Usage Today Meter,,Steam;Sensor;Estimation;Equip,
CMU/SCSC Gates/Third Floor/Steam Flow Meter Interface/Usage YTD,Usage YTD,steam flow meter,Yearly Usage Meter,,Steam;Sensor;Estimation;Equip,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Airflow,Airflow,vav air flow sensor,Discharge Air Flow Sensor,,Discharge;Airflow;Air;Sensor,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Airflow Request,Airflow Request,air flow cmd,Discharge Air Flow Command,,Discharge;Airflow;Air;Command,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Airflow Setpoint,Airflow Setpoint,vav air flow sp,Discharge Air Flow Setpoint,,Discharge;Airflow;Air;Setpoint,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Cool Request,Cool Request,vav cool cmd,Cooling Command,,Temperature;Cooling;Air;Command,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Damper Position,Damper Position,vav damper sensor,Damper Position Sensor,,Damper;Air;Sensor,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Discharge Temp,Discharge Temp,vav discharge air temp sensor,Discharge Air Temperature Sensor,,Disrchage;Temperature;Air;Sensor,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Flow Control _ Flow Input,Flow Control _ Flow Input,air flow sensor,Supply Fan Air Flow Sensor,,Airflow;Air;Fan;Command,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Heat Request,Heat Request,vav heat cmd,Heating Command,,Heating;Command;,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/HWV Command,HWV Command,vav hot water valve cmd,Domestic Hot Water Valve Command,,Water;Heating;Command,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/OCC Sensor,OCC Sensor,occ sensor,Occupancy Sensor,,Occupancy;Sensor,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Run,Run,cmd,Run Time Sensor,,Run;Sensor,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Run Request,Run Request,cmd,Run Request Command,,Run;Command,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Schedule,Schedule,cmd,Schedule Setpoint,,Command,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Zone Temp _ Zone Temp,Zone Temp _ Zone Temp,zone air temp sensor,Zone Temperature Sensor,,Temperature;Air;Sensor,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/ZTMP HI,ZTMP HI,zone air temp max,Zone Cooling Temperature Setpoint,,Temperature;Air;SetPoint;Alarm,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/ZTMP LO,ZTMP LO,zone air temp min,Zone Heating Temperature Setpoint,,Temperature;Air;SetPoint;Alarm,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/OA Temp,,,Outside Air Temperature Sensor,,Outside;Air;Temperature;Sensor,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Zone CO2,,,CO2 Sensor,,CO2;Air;Sensor;,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/ZCO2_HI,,,CO2 High Alarm,,CO2;Air;Setpoint;Alarm,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Max CO2 Level,,,CO2 High Alarm,,C02;Air;Setpoint;Alarm,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/FANCOIL ALARM,,,Fan Overload Alarm,,Fan;Alarm;,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/Zone Temp,,,Zone Temperature Sensor,,Temperature;Air;Sensor,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/RH Valve %,,,Reheat Valve Command,,Valve;Command;Reheat,
CMU/SCSC Gates/Eighth Floor/VAV Room 8001 Office/PRV Command,,,Perimeter Heating Valve Command,,Valve;Command;Heat,
