Address,air,alarm,chilled,chiller,cmd,co2,comp,compressor,condenser,current,damper,delay,delta,demand,discharge,enable,energy,entering,enthalpy,fan,fault,fire,flow,high,hot,humidity,leaving,lockout,low,manual,max,min,outside,power,pressure,refrig,reset,return,run,sensor,sp,speed,suction,sys,sysRef,temp,trip,unit,valve,vfd,water,zone
_Ch_02_Comp_04_Alrm_Rtr_Lckd,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_04_Alrm_SftStrt_Err,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_04_Alrm_Super_Ht,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_04_Alrm_Temp_Cav,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_04_Alrm_Temp_Dis,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_04_Alrm_Temp_Inv,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_04_Alrm_Temp_SCR,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_02_Comp_04_Alrm_Tot_Cmpr_Rat,,+,,+,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Gnrtr_Mde,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_HiCrnt,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Lvng_Wtr,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Lvng_Wtr,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_OvrCrnt,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Press_Dis,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Press_Suct,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Rtr_Lckd,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_SftStrt_Err,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Super_Ht,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Temp_Cav,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Temp_Dis,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Temp_Inv,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Temp_SCR,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_01_Alrm_Tot_Cmpr_Rat,,+,,+,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Gnrtr_Mde,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_HiCrnt,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Lvng_Wtr,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Lvng_Wtr,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_OvrCrnt,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Press_Dis,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Press_Suct,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Rtr_Lckd,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_SftStrt_Err,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Super_Ht,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Temp_Cav,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Temp_Dis,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Temp_Inv,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Temp_SCR,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_02_Alrm_Tot_Cmpr_Rat,,+,,+,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Gnrtr_Mde,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_HiCrnt,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Lvng_Wtr,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Lvng_Wtr,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_OvrCrnt,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Press_Dis,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Press_Suct,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_Rtr_Lckd,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
_Ch_03_Comp_03_Alrm_SftStrt_Err,,+,,+,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,,
