Address,air,alarm,chilled,chiller,cmd,co2,comp,compressor,condenser,current,damper,delay,delta,demand,discharge,enable,energy,entering,enthalpy,fan,fault,fire,flow,high,hot,humidity,leaving,lockout,low,manual,max,min,outside,power,pressure,refrig,reset,return,run,sensor,sp,speed,suction,sys,sysRef,temp,trip,unit,valve,vfd,water,zone
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d61-VAV~2d14~2d02~2eVAV~2d14~2d02-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d61-VAV~2d14~2d02~2eVAV~2d14~2d02-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d61-VAV~2d14~2d02~2eVAV~2d14~2d02-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d62-VAV~2d14~2d03~2eVAV~2d14~2d03-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d62-VAV~2d14~2d03~2eVAV~2d14~2d03-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d62-VAV~2d14~2d03~2eVAV~2d14~2d03-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d62-VAV~2d14~2d03~2eVAV~2d14~2d03-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d62-VAV~2d14~2d03~2eVAV~2d14~2d03-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d62-VAV~2d14~2d03~2eVAV~2d14~2d03-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d62-VAV~2d14~2d03~2eVAV~2d14~2d03-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d62-VAV~2d14~2d03~2eVAV~2d14~2d03-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d63-VAV~2d14~2d04~2eVAV~2d14~2d04-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d63-VAV~2d14~2d04~2eVAV~2d14~2d04-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d63-VAV~2d14~2d04~2eVAV~2d14~2d04-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d63-VAV~2d14~2d04~2eVAV~2d14~2d04-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d63-VAV~2d14~2d04~2eVAV~2d14~2d04-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d63-VAV~2d14~2d04~2eVAV~2d14~2d04-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d63-VAV~2d14~2d04~2eVAV~2d14~2d04-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d63-VAV~2d14~2d04~2eVAV~2d14~2d04-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d64-VAV~2d14~2d05~2eVAV~2d14~2d05-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d64-VAV~2d14~2d05~2eVAV~2d14~2d05-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d64-VAV~2d14~2d05~2eVAV~2d14~2d05-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d64-VAV~2d14~2d05~2eVAV~2d14~2d05-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d64-VAV~2d14~2d05~2eVAV~2d14~2d05-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d64-VAV~2d14~2d05~2eVAV~2d14~2d05-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d64-VAV~2d14~2d05~2eVAV~2d14~2d05-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d64-VAV~2d14~2d05~2eVAV~2d14~2d05-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d65-VAV~2d14~2d06~2eVAV~2d14~2d06-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d65-VAV~2d14~2d06~2eVAV~2d14~2d06-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d65-VAV~2d14~2d06~2eVAV~2d14~2d06-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d65-VAV~2d14~2d06~2eVAV~2d14~2d06-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d65-VAV~2d14~2d06~2eVAV~2d14~2d06-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d65-VAV~2d14~2d06~2eVAV~2d14~2d06-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d65-VAV~2d14~2d06~2eVAV~2d14~2d06-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d65-VAV~2d14~2d06~2eVAV~2d14~2d06-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d66-VAV~2d14~2d07~2eVAV~2d14~2d07-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d66-VAV~2d14~2d07~2eVAV~2d14~2d07-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d66-VAV~2d14~2d07~2eVAV~2d14~2d07-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d66-VAV~2d14~2d07~2eVAV~2d14~2d07-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d66-VAV~2d14~2d07~2eVAV~2d14~2d07-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d66-VAV~2d14~2d07~2eVAV~2d14~2d07-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d66-VAV~2d14~2d07~2eVAV~2d14~2d07-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d66-VAV~2d14~2d07~2eVAV~2d14~2d07-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d67-VAV~2d14~2d08~2eVAV~2d14~2d08-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d67-VAV~2d14~2d08~2eVAV~2d14~2d08-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d67-VAV~2d14~2d08~2eVAV~2d14~2d08-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d67-VAV~2d14~2d08~2eVAV~2d14~2d08-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d67-VAV~2d14~2d08~2eVAV~2d14~2d08-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d67-VAV~2d14~2d08~2eVAV~2d14~2d08-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d67-VAV~2d14~2d08~2eVAV~2d14~2d08-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d67-VAV~2d14~2d08~2eVAV~2d14~2d08-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d68-VAV~2d14~2d09~2eVAV~2d14~2d09-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d68-VAV~2d14~2d09~2eVAV~2d14~2d09-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d68-VAV~2d14~2d09~2eVAV~2d14~2d09-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d68-VAV~2d14~2d09~2eVAV~2d14~2d09-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d68-VAV~2d14~2d09~2eVAV~2d14~2d09-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d68-VAV~2d14~2d09~2eVAV~2d14~2d09-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d68-VAV~2d14~2d09~2eVAV~2d14~2d09-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d68-VAV~2d14~2d09~2eVAV~2d14~2d09-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d69-VAV~2d14~2d10~2eVAV~2d14~2d10-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d69-VAV~2d14~2d10~2eVAV~2d14~2d10-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d69-VAV~2d14~2d10~2eVAV~2d14~2d10-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d69-VAV~2d14~2d10~2eVAV~2d14~2d10-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d69-VAV~2d14~2d10~2eVAV~2d14~2d10-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d69-VAV~2d14~2d10~2eVAV~2d14~2d10-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d69-VAV~2d14~2d10~2eVAV~2d14~2d10-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d69-VAV~2d14~2d10~2eVAV~2d14~2d10-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d70-VAV~2d14~2d11~2eVAV~2d14~2d11-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d70-VAV~2d14~2d11~2eVAV~2d14~2d11-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d70-VAV~2d14~2d11~2eVAV~2d14~2d11-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d70-VAV~2d14~2d11~2eVAV~2d14~2d11-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d70-VAV~2d14~2d11~2eVAV~2d14~2d11-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d70-VAV~2d14~2d11~2eVAV~2d14~2d11-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d70-VAV~2d14~2d11~2eVAV~2d14~2d11-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d70-VAV~2d14~2d11~2eVAV~2d14~2d11-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d71-VAV~2d14~2d12~2eVAV~2d14~2d12-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d71-VAV~2d14~2d12~2eVAV~2d14~2d12-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d71-VAV~2d14~2d12~2eVAV~2d14~2d12-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d71-VAV~2d14~2d12~2eVAV~2d14~2d12-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d71-VAV~2d14~2d12~2eVAV~2d14~2d12-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d71-VAV~2d14~2d12~2eVAV~2d14~2d12-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d71-VAV~2d14~2d12~2eVAV~2d14~2d12-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d71-VAV~2d14~2d12~2eVAV~2d14~2d12-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d72-VAV~2d14~2d13~2eVAV~2d14~2d13-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d72-VAV~2d14~2d13~2eVAV~2d14~2d13-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d72-VAV~2d14~2d13~2eVAV~2d14~2d13-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d72-VAV~2d14~2d13~2eVAV~2d14~2d13-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d72-VAV~2d14~2d13~2eVAV~2d14~2d13-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d72-VAV~2d14~2d13~2eVAV~2d14~2d13-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d72-VAV~2d14~2d13~2eVAV~2d14~2d13-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d72-VAV~2d14~2d13~2eVAV~2d14~2d13-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d73-VAV~2d14~2d14~2eVAV~2d14~2d14-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d73-VAV~2d14~2d14~2eVAV~2d14~2d14-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d73-VAV~2d14~2d14~2eVAV~2d14~2d14-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d73-VAV~2d14~2d14~2eVAV~2d14~2d14-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d73-VAV~2d14~2d14~2eVAV~2d14~2d14-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d73-VAV~2d14~2d14~2eVAV~2d14~2d14-VAV~2dTMP~2dDIFF~2eTrend1,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d73-VAV~2d14~2d14~2eVAV~2d14~2d14-ZN~2dT~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d73-VAV~2d14~2d14~2eVAV~2d14~2d14-ZNT~2dSP~2eTrend1,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,+
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d74-VAV~2d14~2d15~2eVAV~2d14~2d15-DA~2dVP~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,Pa,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d74-VAV~2d14~2d15~2eVAV~2d14~2d15-DPR~2dO~2eTrend1,,,,,+,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d74-VAV~2d14~2d15~2eVAV~2d14~2d15-SA~2dT~2eTrend1,+,,,,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d74-VAV~2d14~2d15~2eVAV~2d14~2d15-SAF~2dSP~2eTrend1,,,,,,,,,,,,,,,+,,,,,+,,,,,,,,,,,,,,,,,,,,,+,,,,,,,L/s,,,,
_NAE_04_NAE~2d04~2fFC~2d1~2eFD~2d74-VAV~2d14~2d15~2eVAV~2d14~2d15-UNIT~2dENA~2eTrend1,,,,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
